exercise_id,name,category,muscle_groups,equipment,difficulty,description,calories_per_minute,calories_per_rep,met_value
0,Partner plank band row,strength,Abdominals,bands,intermediate,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,3.5135660030107974,14,6.31665993563624
1,Banded crunch isometric hold,strength,Abdominals,bands,intermediate,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",8.111130679912847,7,7.404734572317108
2,FYR Banded Plank Jack,strength,Abdominals,bands,intermediate,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",9.160686237833408,3,6.094789724180709
3,Banded crunch,strength,Abdominals,bands,intermediate,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",7.7141383417705445,3,6.397526979267831
4,Crunch,strength,Abdominals,bands,intermediate,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",7.528834417967479,11,4.676412663939714
5,Decline band press sit-up,strength,Abdominals,bands,intermediate,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",9.873711884956215,3,9.225218980235162
6,FYR2 Banded Frog Pump,strength,Abdominals,bands,intermediate,,4.905575535943827,5,7.1894803057123795
7,Band low-to-high twist,strength,Abdominals,bands,intermediate,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",6.657500691725448,10,9.78588247688358
8,Barbell roll-out,strength,Abdominals,barbell,intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",6.366309549082386,5,5.362914672187237
9,Barbell Ab Rollout - On Knees,strength,Abdominals,barbell,intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",9.706001993423431,10,5.003152932172156
